time	reading
1405525889	49.98296
1405525890	49.982243
1405525891	49.981762
1405525892	49.981396
1405525893	49.981018
1405525894	49.980701
1405525895	49.980438
1405525896	49.980186
1405525897	49.979988
1405525898	49.980137
1405525899	49.980686
1405525900	49.981716
1405525901	49.982983
1405525902	49.984146
1405525903	49.985092
1405525904	49.985485
1405525905	49.985607
1405525906	49.985687
1405525907	49.985882
1405525908	49.985954
1405525909	49.985661
1405525910	49.985138
1405525911	49.984524
1405525912	49.983883
1405525913	49.983345
1405525914	49.983189
1405525915	49.983223
1405525916	49.982975
1405525917	49.9827
1405525918	49.982262
1405525920	49.981506
1405525921	49.980835
1405525922	49.980209
1405525923	49.979424
1405525924	49.978508
1405525925	49.977489
1405525926	49.976635
1405525927	49.976013
1405525928	49.975574
1405525929	49.975388
1405525930	49.975662
1405525931	49.976433
1405525932	49.977379
1405525933	49.978607
1405525934	49.97979
1405525935	49.98114
1405525936	49.98254
1405525937	49.984009
1405525938	49.985638
1405525939	49.987171
1405525940	49.988419
1405525941	49.98954
1405525942	49.991276
1405525944	49.992054
1405525945	49.992771
1405525946	49.993393
1405525947	49.993893
1405525948	49.994293
1405525949	49.994644
1405525950	49.994854
1405525951	49.995094
1405525952	49.995239
1405525953	49.995243
1405525954	49.995293
1405525955	49.995457
1405525956	49.995731
1405525957	49.995945
1405525958	49.996124
1405525959	49.996372
1405525960	49.996696
1405525961	49.996861
1405525962	49.996834
1405525963	49.996685
1405525964	49.996387
1405525965	49.995899
1405525966	49.99522
1405525967	49.994522
1405525968	49.99371
1405525969	49.992863
1405525970	49.991936
1405525971	49.991142
1405525972	49.990627
1405525973	49.990227
1405525974	49.989849
1405525975	49.989407
1405525976	49.98893
1405525977	49.988338
1405525979	49.987385
1405525980	49.986824
1405525981	49.986607
1405525982	49.986439
1405525983	49.986168
1405525984	49.986351
1405525985	49.98695
1405525986	49.98756
1405525987	49.988407
1405525988	49.989388
1405525989	49.990311
1405525990	49.991329
1405525991	49.992683
1405525992	49.994297
1405525993	49.995865
1405525994	49.997189
1405525995	49.998039
1405525996	49.998516
1405525997	49.998825
1405525998	49.999157
1405525999	49.999733
1405526000	50.000263
1405526001	50.000355
1405526002	50.000168
1405526003	49.999893
1405526004	49.999672
1405526005	49.999584
1405526006	49.999416
1405526007	49.999035
